code,name,address,latitude,longitude,is_active
11022,"LOCAL POR NEGOCIAR CHIA","kr 11#1591",4.86458069000000000,-74.05924927000000000,1
14006,"BODEGA CEDIS URBANO 560 PUENTE ARANDA","Carrera 53 No 13 - 68 Puente Aranda Bogotá",4.62916800,-74.10830620,1
326823,"UNIDAD MEDICA SANTA ISABEL DE HUNGRIA","CLL. 41 A SUR # 51 A - 60",4.59616700,-74.13090550,1
1000009,"POLICIA BG. EDGAR YESID DUARTE VALERO (DENTRO) - BOGOTA","Carrera 68b Bis # 44 - 58 Edificio BG. Edgar Yesid Duarte Valero Torre 8",4.65639700000000000,-74.10441000000000000,1
1000010,"POLICIA CHAPINERO - BOGOTA (FORMULA)","Calle 67 # 13 - 18",4.65398200000000000,-74.06311200000000000,1
1000011,"POLICIA ESMERALDA - BOGOTA","Carrera 59 # 26 -21 CAN",4.64787741000000000,-74.09739285000000000,1
1000012,"POLICIA VENECIA SUR - BOGOTA (FORMULA)","Avenida 27 Sur #  44 - 01 Muzú",4.58524889000000000,-74.11034652000000000,1
1000013,"POLICIA NORTE - BOGOTA (FORMULA)","Carrera 70D # 116 - 12",4.69923200000000000,-74.07392100000000000,1
1000014,"POLICIA BOSA - BOGOTA (FORMULA)","Calle 65 Sur # 77N - 23",4.60071200000000000,-74.18158600000000000,1
1000015,"POLICIA CESPO (DENTRO) - BOGOTA (FORMULA)","Avenida Boyacá # 142A - 55",4.73102700000000000,-74.06853100000000000,1
1000016,"POLICIA ENGATIVA - BOGOTA (FORMULA)","Carrera 78 # 70 - 58",4.68954000000000000,-74.10275000000000000,1
1000017,"POLICIA HOCEN (DENTRO) - BOGOTA (FORMULA)","Carrera 59 # 26 - 21 CAN",4.64828961000000000,-74.09502378000000000,1
1000018,"POLICIA HOCEN ISLAS DE CIRUGIA (DENTRO) - BOGOTA","Carrera 59 # 26 - 21 CAN",4.64681700000000000,-74.09767700000000000,1
1000019,"POLICIA KENNEDY BANDERAS - BOGOTA (FORMULA)","Carrera 78k # 5b - 06 Barrio Mandalay",4.62984700000000000,-74.14796300000000000,1
1000020,"POLICIA KENNEDY BOMBEROS - BOGOTA (FORMULA)","Calle 41D # 78N - 05 Sur",4.61978400000000000,-74.15901100000000000,1
1000021,"POLICIA SAN ANTONIO SUR - BOGOTA (FORMULA)","Avenida Caracas # 2 - 67 Sur",4.59003759000000000,-74.09113519000000000,1
1000022,"POLICIA CLINICA DEL SUR AMBULATORIA (DENTRO) - BOGOTA","Calle 51 sur # 90 - 07 bosa porvenir",4.63390413000000000,-74.18291199000000000,1
1000023,"POLICIA CLINICA DEL SUR HOSPITALARIA (DENTRO) - BOGOTA","Calle 51 sur # 90 - 07 bosa porvenir",4.63413138000000000,-74.18302733000000000,1
1000024,"POLICIA CLINICA DEL SUR SALAS DE CIRUGIA (DENTRO) - BOGOTA","Calle 51 sur # 90 - 07 bosa porvenir",4.63391750000000000,-74.18311048000000000,1
1000048,"POLICIA CHIA - CHIA (FORMULA)","Carrera 12 # 16 - 05 Chía Centro",4.86511800000000000,-74.05983300000000000,1
1000052,"POLICIA SIBATE (DENTRO) - SIBATE (FORMULA)","Kilometro 20 Sibate",4.48498619000000000,-74.25925757000000000,1
1000053,"POLICIA SOACHA - SOACHA (FORMULA)","Carrera 6 # 14 - 64 Centro",4.58103479000000000,-74.21758532000000000,1
3096478,"DROGUERIA RINCON DE LOS ANGELES S S .","DG 7A BIS C N 76 - 23",4.63611220,-74.14276300,1
3159372,"DROGUERIA DOSIS PLUS.","CL 63 F N0 73 - 36 LC 2 EL ENCANTO",4.68463250,-74.11066440,1
3193063,"DROGUERIA MAXI ECONOMICA","CRA 86F N 37 - 24 SUR LC1",4.63603760,-74.16358120,1
4049078,"DROGAS ANDIGERRS .","CRA. 18 A BIS # 60 G - 40 SUR B.MEISSEN",4.56058140,-74.13952660,1
4507131,"DROGUERIA BOJACA .","CRA. 5 # 6 - 71",4.73348500,-74.34081500,1
5658617,"DROGUERIA SALUD Y PRECIOS","CL 71 A SUR N0 81 I - 04",4.61229070,-74.19484390,1
5711996,"DROGUERIA FARMISALUD MCM .","DG 146 N0 128-57",4.75715230,-74.08337620,1
5712234,"DROGUERIA NUTRI SALUD .","AC 132 N0 94F - 04 ESQ. LA ESPERANZA DE SUBA",4.73895140,-74.09435510,1
5712235,"DROGUERIA BENAVIDES MIRANDA .","CLL. 70 SUR  # 14 D - 87",4.52237340,-74.12035800,1
6013770,"DROGUERIA VILLA VALLE","CR 16 D N0 19 A - 08 SUR VILLA ITALIA",4.57862330,-74.24001830,1
7308925,"DROGUERIA SUDAMERICK .","TRANSVERSAL 86B N0 61 A - 12 SUR",4.61241500,-74.20790170,1
11254058,"DROGUERIA THALIANA TT","TV 5 G BIS SUR N0 48 I - 20",4.56944670,-74.12367500,1
11312798,"DROGUERIA CMH","CR 86 N0 38 D - 64 SUR PATIO BONITO",4.63337170,-74.16430670,1
11335679,"DROGUERIA SOLIMAN","AK 24 N0 63 - 03",4.64777980,-74.07394260,1
11433822,"DROGUERIA S.O.S PUNTO PLUS FACA .","CR 14 A N0 4 D - 21 BRR EL BOSQUE",4.71288320,-74.21281080,1
12138632,"DROGUERIA LA FAENA .","CRA. 121 # 69 - 42 LA FAENA ENGATIVA",4.71614070,-74.13796860,1
